Date,State,Positive,Negative,Pending,Death,Total
20200318,AK,6,406,,,412
20200318,AL,46,28,,0,74
20200318,AR,33,236,50,,319
20200318,AZ,28,148,102,0,278
20200318,CA,611,"7,981",,13,"8,592"
20200318,CO,183,"1,617",,2,"1,800"
20200318,CT,68,125,,,193
20200318,DC,31,138,1,,170
20200318,DE,25,36,,,61
20200318,FL,314,"1,225",954,7,"2,493"
20200318,GA,197,"1,311",,1,"1,508"
20200318,HI,14,93,12,,119
20200318,IA,29,83,,,112
20200318,ID,9,459,,,468
20200318,IL,289,"1,763",,1,"2,052"
20200318,IN,39,154,,2,193
20200318,KS,16,417,,1,433
20200318,KY,26,354,,1,380
20200318,LA,240,335,,6,575
20200318,MA,256,"2,015",,,"2,271"
20200318,MD,85,94,,,179
20200318,ME,43,"1,670",,,"1,713"
20200318,MI,80,272,,,352
20200318,MN,77,"2,685",,,"2,762"
20200318,MO,13,253,,0,266
20200318,MS,34,479,,,513
20200318,MT,10,499,0,,509
20200318,NC,63,"1,787",,0,"1,850"
20200318,ND,6,268,,0,274
20200318,NE,24,206,,,230
20200318,NH,26,513,208,,747
20200318,NJ,427,190,21,5,638
20200318,NM,28,"2,326",,,"2,354"
20200318,NV,55,168,,1,223
20200318,NY,"2,382","12,215",,12,"14,597"
20200318,OH,88,140,,,228
20200318,OK,29,378,110,,517
20200318,OR,75,"1,118",361,3,"1,554"
20200318,PA,133,"1,187",,,"1,320"
20200318,RI,33,540,334,,907
20200318,SC,60,583,,1,643
20200318,SD,11,551,350,1,913
20200318,TN,98,349,,,447
20200318,TX,83,"1,824",,2,"1,907"
20200318,UT,63,131,,0,194
20200318,VA,77,"1,201",,1,"1,278"
20200318,VT,19,592,,,611
20200318,WA,"1,012","13,117",,52,"14,129"
20200318,WI,106,"1,577",,,"1,683"
20200318,WV,1,122,14,0,137
20200318,WY,15,178,,,193
20200318,PR,5,31,21,,57
20200318,VI,2,,,0,2
20200318,GU,8,57,,,65
20200318,MP,0,,,0,0
20200318,AS,0,,,0,0
20200317,AK,3,334,,,337
20200317,AL,36,28,,0,64
20200317,AR,22,197,41,,260
20200317,AZ,20,142,66,0,228
20200317,CA,483,"7,981",,11,"8,407"
20200317,CO,160,"1,056",,1,"1,216"
20200317,CT,41,125,,,166
20200317,DC,22,104,0,,126
20200317,DE,16,36,,,52
20200317,FL,186,940,,6,"1,126"
20200317,GA,146,,,1,146
20200317,HI,10,,,,10
20200317,IA,23,83,,,106
20200317,ID,7,346,,,353
20200317,IL,160,"1,340",,1,"1,500"
20200317,IN,30,129,,2,159
20200317,KS,15,382,,1,397
20200317,KY,22,295,,1,317
20200317,LA,171,286,,4,457
20200317,MA,218,"1,541",,,"1,759"
20200317,MD,57,94,,,151
20200317,ME,32,"1,303",,,"1,335"
20200317,MI,65,272,,,337
20200317,MN,60,"2,276",,,"2,336"
20200317,MO,8,207,,0,215
20200317,MS,21,368,,,389
20200317,MT,8,303,0,,311
20200317,NC,40,474,,0,514
20200317,ND,3,220,0,0,223
20200317,NE,21,206,,,227
20200317,NH,17,355,195,,567
20200317,NJ,267,163,55,3,485
20200317,NM,23,"1,249",,,"1,272"
20200317,NV,55,168,,1,223
20200317,NY,"1,700","5,506",,7,"7,206"
20200317,OH,67,140,,,207
20200317,OK,17,247,82,,346
20200317,OR,47,689,184,,920
20200317,PA,96,879,,,975
20200317,RI,21,308,149,,478
20200317,SC,33,311,,1,344
20200317,SD,11,551,35,,597
20200317,TN,73,330,,,403
20200317,TX,64,"1,204",,1,"1,268"
20200317,UT,51,131,,0,182
20200317,VA,67,961,,1,"1,028"
20200317,VT,10,495,,,505
20200317,WA,904,"11,582",,48,"12,486"
20200317,WI,72,"1,038",,,"1,110"
20200317,WV,0,80,4,0,84
20200317,WY,10,95,,,105
20200317,PR,5,13,4,,22
20200317,VI,2,,,,2
20200317,GU,5,41,,,46
20200317,MP,0,,,,0
20200317,AS,0,,,,0
20200316,AK,1,143,,,144
20200316,AL,28,28,40,0,96
20200316,AR,22,132,14,,168
20200316,AZ,18,182,63,0,263
20200316,CA,335,"7,981",,6,"8,316"
20200316,CO,131,627,,1,758
20200316,CT,26,125,,,151
20200316,DC,17,96,7,,120
20200316,DE,8,36,32,,76
20200316,FL,141,684,514,4,"1,339"
20200316,GA,121,,,1,121
20200316,HI,7,,,,7
20200316,IA,22,83,,,105
20200316,ID,5,265,,,270
20200316,IL,93,932,,,"1,025"
20200316,IN,24,115,,1,139
20200316,KS,11,166,,1,177
20200316,KY,21,234,,1,255
20200316,LA,114,188,,2,302
20200316,MA,164,352,,,516
20200316,MD,37,94,,,131
20200316,ME,17,764,,,781
20200316,MI,53,272,30,,355
20200316,MN,54,"1,839",,,"1,893"
20200316,MO,6,164,,0,170
20200316,MS,12,277,,,289
20200316,MT,7,198,0,,205
20200316,NC,33,296,151,0,480
20200316,ND,1,123,0,0,124
20200316,NE,18,170,,,188
20200316,NH,13,271,95,,379
20200316,NJ,178,20,20,2,218
20200316,NM,17,566,,,583
20200316,NV,45,168,,1,213
20200316,NY,950,"4,322",,7,"5,272"
20200316,OH,50,140,361,,551
20200316,OK,10,174,29,,213
20200316,OR,39,579,182,,800
20200316,PA,76,670,,,746
20200316,RI,21,308,149,,478
20200316,SC,28,235,,1,263
20200316,SD,10,494,0,,504
20200316,TN,52,270,,,322
20200316,TX,57,,,,57
20200316,UT,39,131,,0,170
20200316,VA,51,438,,1,489
20200316,VT,8,421,,,429
20200316,WA,769,"9,451",,42,"10,220"
20200316,WI,47,504,,,551
20200316,WV,0,80,4,0,84
20200316,WY,3,,,,3
20200316,PR,5,9,,,14
20200316,VI,1,,,,1
20200316,GU,3,23,,,26
20200316,MP,0,,,,0
20200316,AS,0,,,,0
20200315,AK,1,143,,,144
20200315,AL,12,28,46,0,86
20200315,AR,16,103,30,,149
20200315,AZ,12,121,50,0,183
20200315,CA,293,916,,5,"1,209"
20200315,CO,131,627,,1,758
20200315,CT,20,125,,,145
20200315,DC,16,79,20,,115
20200315,DE,6,36,32,,74
20200315,FL,116,678,454,4,"1,248"
20200315,GA,99,,,1,99
20200315,HI,2,,,,2
20200315,IA,18,83,,,101
20200315,ID,5,171,,,176
20200315,IL,64,449,195,,708
20200315,IN,19,102,,0,121
20200315,KS,8,135,,1,143
20200315,KY,16,139,,,155
20200315,LA,91,156,,2,247
20200315,MA,138,352,,,490
20200315,MD,31,94,,,125
20200315,ME,3,91,17,,111
20200315,MI,33,205,26,,264
20200315,MN,35,"1,387",,,"1,422"
20200315,MO,5,122,,0,127
20200315,MS,10,84,,,94
20200315,MT,7,103,57,,167
20200315,NC,32,227,151,,410
20200315,ND,1,95,4,0,100
20200315,NE,17,80,33,,130
20200315,NH,13,271,95,,379
20200315,NJ,98,120,34,2,252
20200315,NM,13,482,,,495
20200315,NV,21,168,164,,353
20200315,NY,729,"4,543",,3,"5,272"
20200315,OH,36,139,350,,525
20200315,OK,9,118,12,,139
20200315,OR,36,420,225,,681
20200315,PA,63,205,183,,451
20200315,RI,20,198,57,,275
20200315,SC,19,154,,,173
20200315,SD,9,327,6,,342
20200315,TN,39,157,,,196
20200315,TX,56,,,,56
20200315,UT,28,131,,0,159
20200315,VA,45,363,,1,408
20200315,VT,4,348,,,352
20200315,WA,642,"7,122",,40,"7,764"
20200315,WI,33,313,,,346
20200315,WV,0,38,1,0,39
20200315,WY,3,,,,3
20200314,AK,1,143,,,144
20200314,AL,6,22,46,,74
20200314,AR,12,65,26,,103
20200314,AZ,12,121,50,0,183
20200314,CA,252,916,,5,"1,168"
20200314,CO,101,712,,1,814
20200314,CT,11,125,,,136
20200314,DC,10,49,10,,69
20200314,DE,6,36,32,,74
20200314,FL,77,478,221,3,776
20200314,GA,66,,,1,66
20200314,HI,2,,,,2
20200314,IA,17,83,,,100
20200314,ID,2,174,,,176
20200314,IL,46,316,82,,444
20200314,IN,15,74,,0,89
20200314,KS,6,93,,1,100
20200314,KY,14,139,,,153
20200314,LA,69,109,,,178
20200314,MA,138,352,,,490
20200314,MD,26,94,,,120
20200314,ME,3,91,17,,111
20200314,MI,25,205,26,,256
20200314,MN,21,847,,,868
20200314,MO,4,90,,0,94
20200314,MS,6,84,,,90
20200314,MT,5,103,,,108
20200314,NC,23,137,,,160
20200314,ND,1,54,14,0,69
20200314,NE,14,80,33,,127
20200314,NH,7,212,31,,250
20200314,NJ,50,,80,1,130
20200314,NM,10,237,,,247
20200314,NV,20,168,,,188
20200314,NY,524,"2,779",,,"3,303"
20200314,OH,13,50,159,,222
20200314,OK,4,36,37,,77
20200314,OR,30,337,157,,524
20200314,PA,47,205,150,,402
20200314,RI,20,198,57,,275
20200314,SC,13,110,,,123
20200314,SD,9,182,3,,194
20200314,TN,32,130,,,162
20200314,TX,51,,,,51
20200314,UT,6,131,,,137
20200314,VA,30,117,,,147
20200314,VT,4,227,,,231
20200314,WA,568,"6,001",,37,"6,569"
20200314,WI,19,169,,,188
20200314,WV,0,26,5,,31
20200314,WY,2,,,,2
20200313,AK,1,59,,,60
20200313,AL,1,11,,,12
20200313,AR,9,30,22,,61
20200313,AZ,9,94,40,0,143
20200313,CA,202,916,,4,"1,118"
20200313,CO,72,524,,,596
20200313,CT,6,99,,,105
20200313,DC,10,20,,,30
20200313,DE,4,30,10,,44
20200313,FL,50,478,221,2,749
20200313,GA,42,,,1,42
20200313,HI,2,,,,2
20200313,IA,16,83,29,,128
20200313,ID,0,131,,,131
20200313,IL,32,294,92,,418
20200313,IN,12,61,,,73
20200313,KS,6,93,,,99
20200313,KY,11,107,,,118
20200313,LA,36,37,,,73
20200313,MA,123,92,,,215
20200313,MD,17,94,,,111
20200313,ME,3,91,17,,111
20200313,MI,16,133,26,,175
20200313,MN,14,541,,,555
20200313,MO,2,71,,,73
20200313,MS,4,38,,,42
20200313,MT,1,55,,,56
20200313,NC,15,86,,,101
20200313,ND,1,39,12,0,52
20200313,NE,13,80,33,,126
20200313,NH,6,94,21,,121
20200313,NJ,50,,80,1,130
20200313,NM,10,190,,,200
20200313,NV,11,168,,,179
20200313,NY,421,"2,779",,,"3,200"
20200313,OH,13,50,159,,222
20200313,OK,3,36,37,,76
20200313,OR,30,337,157,,524
20200313,PA,33,140,130,,303
20200313,RI,14,142,29,,185
20200313,SC,12,75,,,87
20200313,SD,9,73,11,,93
20200313,TN,26,116,,,142
20200313,TX,39,,,,39
20200313,UT,6,131,,,137
20200313,VA,30,117,,,147
20200313,VT,2,142,,,144
20200313,WA,457,"4,350",,31,"4,807"
20200313,WI,19,169,,,188
20200313,WV,0,17,4,,21
20200313,WY,1,,,,1
20200312,AK,0,46,14,,60
20200312,AL,0,10,,,10
20200312,AR,6,24,20,,50
20200312,AZ,9,82,24,,115
20200312,CA,202,916,,4,"1,118"
20200312,CO,45,298,,,343
20200312,CT,6,89,,,95
20200312,DC,10,20,,,30
20200312,DE,4,23,14,,41
20200312,FL,32,301,147,2,480
20200312,GA,31,,,,31
20200312,HI,2,,,,2
20200312,IA,14,67,24,,105
20200312,ID,0,93,,,93
20200312,IL,25,266,76,,367
20200312,IN,12,52,,,64
20200312,KS,4,41,,,45
20200312,KY,8,56,,,64
20200312,LA,14,37,,,51
20200312,MA,95,,,,95
20200312,MD,12,94,,,12
20200312,ME,1,65,20,,86
20200312,MI,2,91,27,,120
20200312,MN,9,307,,,316
20200312,MO,1,64,,,65
20200312,MS,1,41,,,42
20200312,MT,1,34,,,35
20200312,NC,12,60,,,72
20200312,ND,1,12,14,,27
20200312,NE,10,80,33,,123
20200312,NH,6,94,21,,121
20200312,NJ,30,74,20,1,124
20200312,NM,5,155,,,160
20200312,NV,7,168,,,175
20200312,NY,216,,,,216
20200312,OH,5,30,52,,87
20200312,OK,3,36,4,,43
20200312,OR,19,286,62,,367
20200312,PA,22,116,81,,219
20200312,RI,5,94,8,,107
20200312,SC,10,48,,,58
20200312,SD,8,27,11,,46
20200312,TN,18,79,,,97
20200312,TX,23,,,,23
20200312,UT,4,132,,,136
20200312,VA,17,117,,,134
20200312,VT,2,97,,,99
20200312,WA,337,"3,037",,29,"3,403"
20200312,WI,8,84,,,92
20200312,WV,0,7,1,,8
20200312,WY,1,,,,1
20200311,AK,0,46,14,,60
20200311,AL,0,10,,,10
20200311,AR,0,12,14,,26
20200311,AZ,9,59,32,,100
20200311,CA,157,916,,,"1,073"
20200311,CO,28,251,,,279
20200311,CT,3,71,,,74
20200311,DC,4,20,15,,39
20200311,DE,1,17,2,,20
20200311,FL,28,301,147,2,476
20200311,GA,22,,,,22
20200311,HI,2,,,,2
20200311,IA,13,46,27,,86
20200311,ID,0,67,,,67
20200311,IL,19,244,63,,326
20200311,IN,10,33,,,43
20200311,KS,1,41,,,42
20200311,KY,8,46,,,54
20200311,LA,6,37,,,43
20200311,MA,92,,,,92
20200311,MD,9,94,,,103
20200311,ME,0,42,5,,47
20200311,MI,2,57,18,,77
20200311,MN,5,217,,,222
20200311,MO,1,,,,1
20200311,MS,0,20,,,20
20200311,MT,0,21,,,21
20200311,NC,7,,,,7
20200311,ND,,7,6,,13
20200311,NE,5,47,16,,68
20200311,NH,4,38,5,,47
20200311,NJ,24,57,20,1,100
20200311,NM,3,87,,,90
20200311,NV,5,168,,,173
20200311,NY,216,,,,216
20200311,OH,4,21,24,,49
20200311,OK,2,15,11,,28
20200311,OR,19,286,62,,367
20200311,PA,15,88,54,,157
20200311,RI,5,58,24,,87
20200311,SC,9,32,,,41
20200311,SD,5,13,2,,20
20200311,TN,7,50,,,57
20200311,TX,21,,,,21
20200311,UT,2,,,,2
20200311,VA,9,60,,,69
20200311,VT,1,62,,,63
20200311,WA,267,"2,175",,24,"2,466"
20200311,WI,3,43,,,46
20200311,WV,,3,2,,5
20200311,WY,0,,,,0
20200310,AK,0,23,9,,32
20200310,AL,0,0,0,,0
20200310,AR,0,12,3,,15
20200310,AZ,6,51,27,,84
20200310,CA,133,690,,,823
20200310,CO,12,142,1,,155
20200310,CT,2,54,,,56
20200310,DC,5,17,2,,24
20200310,DE,0,17,3,,20
20200310,FL,19,222,155,,396
20200310,GA,17,,,,17
20200310,HI,2,,,,2
20200310,IA,8,32,11,,51
20200310,ID,0,41,,,41
20200310,IL,19,244,63,,326
20200310,IN,6,30,,,36
20200310,KS,1,17,21,,39
20200310,KY,6,28,,,34
20200310,LA,1,11,,,12
20200310,MA,92,,,,
20200310,MD,6,89,,,95
20200310,ME,0,20,5,,25
20200310,MI,0,39,24,,63
20200310,MN,3,132,,,135
20200310,MO,1,,,,1
20200310,MS,0,,,,0
20200310,MT,0,15,,,15
20200310,NC,7,,,,7
20200310,ND,0,6,2,,8
20200310,NE,3,47,16,,66
20200310,NH,4,38,5,,47
20200310,NJ,15,44,20,,79
20200310,NM,0,69,,,69
20200310,NV,0,14,,,14
20200310,NY,173,92,,,265
20200310,OH,3,14,15,,32
20200310,OK,2,15,11,,28
20200310,OR,15,213,67,,295
20200310,PA,12,,,,
20200310,RI,3,53,6,,62
20200310,SC,7,24,,,31
20200310,SD,0,11,0,,11
20200310,TN,7,,,,7
20200310,TX,13,,,,13
20200310,UT,2,,,,2
20200310,VA,8,53,,,
20200310,VT,1,40,,,41
20200310,WA,162,"1,110",,,"1,272"
20200310,WI,2,36,,,38
20200310,WV,0,2,3,,5
20200310,WY,0,0,0,,0
20200309,AK,0,23,9,,32
20200309,AL,0,,,,0
20200309,AR,0,12,0,,12
20200309,AZ,5,44,7,,56
20200309,CA,114,690,,,804
20200309,CO,9,266,,,275
20200309,CT,1,46,,,47
20200309,DC,1,14,3,,18
20200309,DE,0,15,3,,18
20200309,FL,18,140,115,,273
20200309,GA,12,,,,12
20200309,HI,2,,,,2
20200309,IA,3,26,8,,37
20200309,ID,0,41,,,41
20200309,IL,7,191,44,,242
20200309,IN,2,,,,2
20200309,KS,1,11,0,,12
20200309,KY,4,17,,,21
20200309,LA,1,5,,,6
20200309,MA,41,,,,41
20200309,MD,5,73,,,78
20200309,ME,0,1,,,1
20200309,MI,0,36,11,,47
20200309,MN,2,80,,,82
20200309,MO,1,,,,1
20200309,MS,0,,,,0
20200309,MT,0,11,0,,11
20200309,NC,2,,,,2
20200309,ND,0,0,,,0
20200309,NE,3,36,9,,48
20200309,NH,4,38,5,,47
20200309,NJ,11,35,14,,60
20200309,NM,0,57,0,,57
20200309,NV,1,14,,,15
20200309,NY,142,92,,,234
20200309,OH,3,11,5,,19
20200309,OK,1,8,10,,19
20200309,OR,14,165,52,,231
20200309,PA,7,,,,7
20200309,RI,3,53,6,,62
20200309,SC,7,24,,,31
20200309,SD,0,5,0,,5
20200309,TN,3,,,,3
20200309,TX,12,,,,12
20200309,UT,1,,,,1
20200309,VA,3,38,9,,50
20200309,VT,1,34,,,35
20200309,WA,136,"1,110",,,"1,246"
20200309,WI,1,36,,,37
20200309,WV,0,2,3,,5
20200309,WY,0,,,,0
20200308,NY,105,92,,,197
20200308,WA,102,640,60,,802
20200308,CA,88,462,,,550
20200308,FL,17,118,108,,243
20200308,OR,14,100,53,,167
20200308,MA,13,,,,13
20200308,CO,8,208,,,216
20200308,TX,8,,,,8
20200308,GA,7,,,,7
20200308,IL,6,191,44,,241
20200308,NJ,6,31,0,,37
20200308,AZ,5,44,7,,56
20200308,NH,4,38,5,,47
20200308,PA,4,,,,4
20200308,MD,3,52,,,55
20200308,RI,3,30,12,,45
20200308,TN,3,,,,3
20200308,VA,2,36,6,,44
20200308,SC,2,8,,,10
20200308,IN,2,,,,2
20200308,NC,2,,,,2
20200308,MN,1,48,,,49
20200308,WI,1,31,12,,44
20200308,CT,1,29,8,,38
20200308,VT,1,28,,,29
20200308,NE,1,17,5,,23
20200308,NV,1,14,,,15
20200308,KY,1,13,,,14
20200308,KS,1,11,0,,12
20200308,DC,1,10,0,,11
20200308,OK,1,8,2,,11
20200308,HI,1,,,,1
20200308,MO,1,,,,1
20200308,UT,1,,,,1
20200308,NM,0,46,0,,46
20200308,MI,0,26,10,,36
20200308,ID,0,27,,,27
20200308,AK,0,14,6,,20
20200308,IA,0,15,2,,17
20200308,OH,0,10,4,,14
20200308,MT,0,11,,,11
20200308,DE,0,10,0,,10
20200308,AR,0,6,0,,6
20200308,LA,0,5,,,5
20200308,SD,0,5,0,,5
20200308,WV,0,2,3,,5
20200308,ME,0,1,,,1
20200308,AL,0,,,,0
20200308,MS,0,,,,0
20200308,ND,0,0,,,0
20200308,WY,0,,,,0
20200307,WA,102,370,66,,538
20200307,NY,76,92,236,,404
20200307,CA,69,462,,,531
20200307,FL,14,100,88,,202
20200307,MA,13,,,,13
20200307,CO,8,109,69,,186
20200307,TX,8,,,,8
20200307,OR,7,77,40,,124
20200307,IL,6,191,44,,241
20200307,GA,6,,,,6
20200307,AZ,5,44,7,,56
20200307,NJ,4,,1,,5
20200307,MD,3,41,,,44
20200307,NH,2,20,3,,25
20200307,SC,2,8,,,10
20200307,NC,2,,,,2
20200307,PA,2,,,,2
20200307,RI,2,,,,2
20200307,MN,1,48,,,49
20200307,WI,1,31,12,,44
20200307,NE,1,17,5,,23
20200307,NV,1,14,,,15
20200307,KY,1,9,,,10
20200307,HI,1,,,,1
20200307,IN,1,,,,1
20200307,OK,1,,,,1
20200307,TN,1,,,,1
20200307,UT,1,,,,1
20200307,NM,0,48,0,,48
20200307,VA,0,31,7,,38
20200307,ID,0,27,,,27
20200307,MI,0,18,9,,27
20200307,IA,0,15,2,,17
20200307,VT,0,16,,,16
20200307,AK,0,12,2,,14
20200307,OH,0,9,5,,14
20200307,KS,0,11,2,,13
20200307,MT,0,11,,,11
20200307,DE,0,10,0,,10
20200307,DC,0,8,1,,9
20200307,AR,0,6,0,,6
20200307,SD,0,5,0,,5
20200307,WV,0,2,3,,5
20200307,ME,0,1,,,1
20200307,LA,0,,,,0
20200307,MO,0,,,,0
20200307,MS,0,,,,0
20200307,ND,0,0,,,0
20200307,WY,0,,,,0
20200307,AL,,,,,0
20200307,CT,,,,,0
20200306,WA,79,370,,,449
20200306,CA,60,462,,,522
20200306,NY,33,92,236,,361
20200306,FL,9,55,51,,115
20200306,MA,8,,,,8
20200306,IL,5,180,35,,220
20200306,TX,5,,,,5
20200306,AZ,3,33,15,,51
20200306,MD,3,26,12,,41
20200306,OR,3,64,28,,95
20200306,CO,2,92,30,,124
20200306,GA,2,,,,2
20200306,NC,2,,,,2
20200306,NH,2,20,3,,25
20200306,PA,2,,,,2
20200306,IN,1,,,,1
20200306,NJ,1,,,,1
20200306,NV,1,14,,,15
20200306,TN,1,,,,1
20200306,WI,1,31,12,,44
20200306,AK,0,8,1,,9
20200306,AR,0,6,0,,6
20200306,DC,0,8,1,,9
20200306,DE,0,10,0,,10
20200306,IA,0,15,2,,17
20200306,KS,0,4,0,,4
20200306,KY,0,7,3,,10
20200306,MI,0,8,8,,16
20200306,MN,0,36,,,36
20200306,NE,0,17,5,,22
20200306,NM,0,16,0,,16
20200306,OH,0,8,2,,10
20200306,SC,0,5,0,,5
20200306,VA,0,21,10,,31
20200306,VT,0,8,,,8
20200306,WV,0,1,4,,5
20200305,WA,70,,,,70
20200305,CA,53,462,,,515
20200305,NY,22,76,24,,122
20200305,FL,9,31,69,,109
20200305,IL,5,165,27,,197
20200305,OR,3,45,13,,61
20200305,AZ,2,28,6,,36
20200305,GA,2,,,,2
20200305,MA,2,,,,2
20200305,NH,2,16,4,,22
20200305,NC,1,,,,1
20200305,NJ,1,,,,1
20200305,NV,1,14,,,15
20200305,TN,1,,,,1
20200305,TX,1,,,,1
20200305,WI,1,19,6,,26
20200305,CO,0,37,21,,58
20200305,DC,0,6,2,,8
20200305,MI,0,8,0,,8
20200305,NE,0,17,5,,22
20200305,OH,0,7,3,,10
20200305,SC,0,5,0,,5
20200305,VA,0,18,3,,21
20200305,MD,0,17,14,,31
20200304,AZ,2,27,5,,34
20200304,CA,53,462,,,515
20200304,FL,2,24,16,,42
20200304,GA,2,,,,2
20200304,IL,4,124,27,,155
20200304,MA,2,,,,2
20200304,NC,1,,,,1
20200304,NH,2,10,7,,19
20200304,NY,6,48,24,,78
20200304,OR,3,29,18,,50
20200304,SC,0,5,0,,5
20200304,TX,1,,,,1
20200304,WA,39,,,,39
20200304,WI,1,19,6,,26